factor,group_1_mean,group_2_mean,group_3_mean,group_4_mean,group_5_mean,observations,bottom_mean,top_mean,top_bottom_mean,top_bottom_std,top_bottom_ir,top_bottom_annualized_return,top_bottom_annualized_ir,hit_ratio,cumulative_top_bottom_return,t_stat,p_value,monotonicity_score,group_spearman_corr,group_spearman_p_value
book_to_market,0.0018948606497611485,0.003048184044287155,0.0025685555317174896,0.003517885182027899,0.005064961542215782,264,0.0018948606497611485,0.005064961542215782,0.0031701008924546327,0.010561882371937552,0.30014544574719454,0.1597730849797135,2.13082128428928,0.5757575757575758,1.2728835121694204,4.876786256453576,1.8687234017627797e-06,0.9,0.8999999999999998,0.03738607346849875
min_ret_reversal,0.0026476431283260888,0.002755217893250858,0.0031861513406857642,0.003929658516501177,0.005250548843299763,1876,0.0026476431283260888,0.005250548843299763,0.0026029057149736753,0.029755336941553353,0.0874769363252854,0.13118644803467322,0.6210246413778161,0.5415778251599147,56.80592857974529,3.7888724171576014,0.00015610790221337581,1.0,0.9999999999999999,1.4042654220543672e-24
short_reversal_1d,0.0025000974349889287,0.002724009307248124,0.0029363733169196393,0.0033554820898380306,0.004335865148292051,2002,0.0025000974349889287,0.004335865148292051,0.001835767713303121,0.022735444008451025,0.0807447487113401,0.0925226927504773,0.5732308505311415,0.508991008991009,22.69122127417711,3.612819995212027,0.0003103563312134258,1.0,0.9999999999999999,1.4042654220543672e-24
reversal_5d,0.0026493360321432017,0.002680876624047974,0.002917116169653355,0.0032214348045550923,0.0042909858372811825,1998,0.0026493360321432017,0.0042909858372811825,0.0016416498051379808,0.023049017140015008,0.07122428670886537,0.08273915017895424,0.5056422751968109,0.5205205205205206,14.764131963123155,3.183653912776787,0.0014766813606971955,1.0,0.9999999999999999,1.4042654220543672e-24
ts_rank_close,0.0023925853787359038,0.002670751813254106,0.0031963463134907994,0.003578707715489256,0.003911766663336575,1994,0.0023925853787359038,0.003911766663336575,0.001519181284600671,0.019724734485389347,0.07701909933063841,0.07656673674387382,0.5467813637550373,0.5150451354062187,13.109943918284456,3.439228354360213,0.0005953780148543271,1.0,0.9999999999999999,1.4042654220543672e-24
weekly_range_reversal,0.002477479537981408,0.0028700917749813555,0.0031075479637140864,0.003424510669479846,0.003973454018393268,2002,0.002477479537981408,0.003973454018393268,0.0014959744804118604,0.01934839023244352,0.07731777488668798,0.07539711381275777,0.5489017498576584,0.514985014985015,12.817410204391269,3.4594844563148355,0.0005525483714003489,1.0,0.9999999999999999,1.4042654220543672e-24
amihud_illiq,0.002742426985975745,0.002803126551015099,0.002859129736721604,0.003130440059621867,0.00421834416594233,1993,0.002742426985975745,0.00421834416594233,0.0014759171799665842,0.014128695148032321,0.10446238414112378,0.07438622587031583,0.7416093586940261,0.535373808329152,14.519805073271797,4.6635171998173535,3.314848661642501e-06,1.0,0.9999999999999999,1.4042654220543672e-24
vwap_reversion,0.002758361042158491,0.002786061167479899,0.002704874864801008,0.0033905246493561424,0.004108225934608841,1994,0.002758361042158491,0.004108225934608841,0.0013498648924503494,0.02269628943251141,0.059475135636785144,0.06803319057949761,0.42223157704547054,0.5010030090270813,7.8851686680351865,2.6558162149278886,0.007974721199800082,0.8,0.7,0.18812040437418728
stoch_reversal,0.0024984181098171004,0.002820298318636069,0.0031868172789578956,0.0035602904906394985,0.0036772590664662834,1996,0.0024984181098171004,0.0036772590664662834,0.0011788409566491828,0.02046622423605937,0.05759933747682618,0.05941358421511881,0.4089147311599001,0.4969939879759519,5.976592145509084,2.5733434712116376,0.010143761410479313,1.0,0.9999999999999999,1.4042654220543672e-24
price_volume_corr,0.0028855529445056026,0.0036529123516955966,0.004104776987205784,0.003537097726060663,0.004057805756576274,1885,0.0028855529445056026,0.004057805756576274,0.001172252812070672,0.01895499021451622,0.06184402095723218,0.059081541728361865,0.43904899450880436,0.5676392572944297,5.4619157602114,2.685056297282965,0.007315348323380468,0.7,0.49999999999999994,0.39100221895577053
intraday_position,0.002799844887528149,0.002863063462325335,0.003052032158432694,0.0033370899770687854,0.003812355245861693,2002,0.002799844887528149,0.003812355245861693,0.0010125103583335437,0.016611647289888475,0.060951833413285854,0.0510305220600106,0.43271509127903535,0.5244755244755245,4.771916241408065,2.727211441174812,0.006442975144463264,1.0,0.9999999999999999,1.4042654220543672e-24
median_reversion,0.0030038854864250365,0.002739380772394612,0.0029011295103969275,0.0031711201042364345,0.003968414274277841,1984,0.0030038854864250365,0.003968414274277841,0.0009645287878528041,0.02284536279667506,0.04221989365794544,0.048612250907781325,0.2997315111772641,0.5015120967741935,3.0594252505679576,1.880563354489456,0.06017778469235535,0.8,0.7,0.18812040437418728
earnings_yield,0.003764517261134577,0.002379013721385571,0.0025208384597126135,0.002875774015432782,0.004546775055119439,264,0.003764517261134577,0.004546775055119439,0.0007822577939848617,0.014261701701657907,0.05485024230270677,0.03942579281683702,0.3893980915021906,0.4772727272727273,0.196996814934431,0.8912109499415554,0.3736306013247854,0.7,0.39999999999999997,0.5046315754686911
momentum_126d,0.003966054176836019,0.0034046691321291084,0.0033369184571715206,0.003163023604216985,0.0035470824309978694,1872,0.003966054176836019,0.0035470824309978694,-0.0004189717458381493,0.027094908340115086,-0.01546311729786681,-0.021116175990242726,-0.10977724275552936,0.5176282051282052,-0.7725522577032532,-0.6690367475516755,0.5035545776122234,0.3,-0.39999999999999997,0.5046315754686911
momentum_63d,0.003980291675930715,0.003381871355153666,0.002917161531147485,0.0029751774244835315,0.0030455566352277424,1935,0.003980291675930715,0.0030455566352277424,-0.0009347350407029727,0.026240780270107063,-0.035621465180583935,-0.047110646051429825,-0.2528873159990874,0.48320413436692505,-0.9168058143507951,-1.56693962628378,0.11729239713082307,0.3,-0.6,0.28475697986529375
roe_ttm,0.004074296581468451,0.0036127724305169777,0.0027676825607826218,0.002911972879288586,0.0027270880259982577,264,0.004074296581468451,0.0027270880259982577,-0.001347208555470193,0.00842744480410393,-0.15985967120355865,-0.06789931119569773,-1.1348910827283902,0.42045454545454547,-0.305977663491947,-2.597412216420376,0.009922015845103738,0.1,-0.8999999999999998,0.03738607346849875
gross_profitability,0.0035974154392869623,0.004859688723134335,0.0035814809526872925,0.0015229555839085644,0.0021111187884804697,264,0.0035974154392869623,0.0021111187884804697,-0.0014862966508064931,0.011579706317929234,-0.1283535704619047,-0.07490935120064725,-0.9112199559579919,0.45454545454545453,-0.3366065977526097,-2.085498671609323,0.037988176004995135,0.2,-0.7999999999999999,0.10408803866182788
asset_growth_penalty,0.001577508796349835,0.012025116012818277,0.007209562939326374,0.0026677635255010837,-0.0005133026275117658,12,0.001577508796349835,-0.0005133026275117658,-0.0020908114238616018,0.015893551632109433,-0.13155092532229085,-0.10537689576262473,-0.9339189236967027,0.4166666666666667,-0.026165482694337494,-0.4557057728818139,0.657465948391209,0.3,-0.39999999999999997,0.5046315754686911
eps_momentum,0.009169020197275028,0.003350784190852278,0.005685052395992564,0.0024301680171269825,0.001811080487350945,12,0.009169020197275028,0.001811080487350945,-0.007357939709924081,0.005334119448617491,-1.379410375189691,-0.37084016138017367,-9.792842199909105,0.16666666666666666,-0.08495346409474658,-4.778417708632385,0.0005728698704869066,0.1,-0.8999999999999998,0.03738607346849875
