Date,amihud_illiq,intraday_position,median_reversion,min_ret_reversal,momentum_126d,momentum_63d,price_volume_corr,reversal_5d,short_reversal_1d,stoch_reversal,ts_rank_close,vwap_reversion,weekly_range_reversal,earnings_yield,book_to_market,roe_ttm,gross_profitability,asset_growth_penalty,eps_momentum
2018-07-02 20:00:00-04:00,,0.004713577521700797,,,,,,,0.013804634367431729,,,,0.0069999996935772545,,,,,,
2018-07-04 20:00:00-04:00,,0.0004815022514631038,,,,,,,0.010214277767603183,,,,0.008023040172671697,,,,,,
2018-07-05 20:00:00-04:00,,0.0020984201960427646,,,,,,,0.009688591230085818,,,,0.005247671463732003,,,,,,
2018-07-08 20:00:00-04:00,,-0.0057558524458662655,,,,,,,0.00567383328633432,,,,0.009040956526691396,,,,,,
2018-07-09 20:00:00-04:00,,-0.001397856924794773,,,,,,0.007452699997498244,0.0031895274921392497,,,,0.006302028029226504,,,,,,
2018-07-10 20:00:00-04:00,,-0.0018927062874426158,,,,,,-0.008988717296500442,-0.009909135524457427,,,,0.007524281186412997,,,,,,
2018-07-11 20:00:00-04:00,,0.002094717066581353,,,,,,-0.0015667978209623398,0.005501472071994702,0.007153806958738379,,,0.003957623126713213,,,,,,
2018-07-12 20:00:00-04:00,,-0.005018658983230817,,,,,,-0.007927234956730384,-0.0026476804670840376,-0.002690246041655156,,,-0.004914522349624277,,,,,,
2018-07-15 20:00:00-04:00,,0.002321766746836148,,,,,,-0.0018067751262583545,-0.004018783788238326,-0.0049511024817174305,-0.009190081443070843,-0.008609045461715748,0.001016168062299855,,,,,,
2018-07-16 20:00:00-04:00,-0.00686943437234647,-0.0010483175498916556,,,,,,0.004456539826348078,-0.0004845665361586527,-0.004709566349301912,-0.002968138001684083,0.00300999465537236,-0.0009136516955607782,,,,,,
2018-07-17 20:00:00-04:00,-0.0076045883744769414,0.00019450294499151607,,,,,,0.0046148183722259425,0.005429773763979806,-0.002943026018334841,0.0010558945168385274,0.0031298832216989595,0.001999403861247136,,,,,,
2018-07-18 20:00:00-04:00,-0.007148737136282598,0.0025924444703372615,,,,,,-0.0017371240299280406,0.005257088882167051,-0.0017588697492342646,-0.0037757113557881743,0.0009009254343704332,0.003583775459126427,,,,,,
2018-07-19 20:00:00-04:00,-0.008982738159586307,0.0010578808544330904,,,,,,0.00022436691453585106,0.0038460334253486586,0.010780196999821065,-0.002538951426109052,0.005333311425146097,0.005018827080598661,,,,,,
2018-07-22 20:00:00-04:00,-0.006621769784985831,0.013591911053133475,,,,,,0.008215565627382073,0.005957473309754194,0.024780259248079705,0.011257537859723799,0.012202836063950697,0.016590184847542114,,,,,,
2018-07-23 20:00:00-04:00,0.007363451082300307,-0.006529396582494991,,,,,,0.0013823877801911466,0.0027348587749843794,0.015686990911202632,0.0014523712797234406,0.011334239064561023,-0.0030671661550185332,,,,,,
2018-07-24 20:00:00-04:00,0.007339619485940855,-0.001770163165472573,,,,,,0.015591000853401996,0.018649079774452525,0.018044114902508606,0.019346807385740593,0.02215697028218968,0.018672143697568262,,,,,,
2018-07-25 20:00:00-04:00,0.004896238347083274,-0.0031106437780289244,,,,,,0.0027506346532855355,-0.001034344007809271,-0.00100604559363267,-0.0011539429679944691,0.000989744133843209,0.001338003117520397,,,,,,
2018-07-26 20:00:00-04:00,0.009065897428553217,0.0005385858157146983,,,,,,0.004730446771251971,-0.0002486537712149987,0.0039952393183122015,0.007578441375780328,0.006544935098919683,0.0008567937212970072,,,,,,
