fold,train_start,train_end,test_start,test_end,n_factors,oos_ic_mean,oos_ic_std,oos_ic_ir,oos_n_periods
21,2018-07-02 20:00:00-04:00,2023-11-09 19:00:00-05:00,2023-11-12 19:00:00-05:00,2024-01-24 19:00:00-05:00,8,-0.0012757793176640315,0.10514328281610466,-0.012133721560657054,50
22,2018-07-02 20:00:00-04:00,2024-01-24 19:00:00-05:00,2024-01-25 19:00:00-05:00,2024-04-07 20:00:00-04:00,6,-0.002801402135961918,0.0684401453975685,-0.04093214764066595,50
23,2018-07-02 20:00:00-04:00,2024-04-07 20:00:00-04:00,2024-04-08 20:00:00-04:00,2024-06-17 20:00:00-04:00,5,0.03933198344025267,0.12138336816455637,0.32403107637391715,50
24,2018-07-02 20:00:00-04:00,2024-06-17 20:00:00-04:00,2024-06-19 20:00:00-04:00,2024-08-28 20:00:00-04:00,6,-0.0007258085522473515,0.11095830979176548,-0.006541272605985709,50
25,2018-07-02 20:00:00-04:00,2024-08-28 20:00:00-04:00,2024-08-29 20:00:00-04:00,2024-11-07 19:00:00-05:00,6,-0.00583467710185553,0.10515475335509725,-0.055486574935442054,50
26,2018-07-02 20:00:00-04:00,2024-11-07 19:00:00-05:00,2024-11-10 19:00:00-05:00,2025-01-23 19:00:00-05:00,7,0.013702204052981202,0.09141868556542836,0.14988406328785522,50
27,2018-07-02 20:00:00-04:00,2025-01-23 19:00:00-05:00,2025-01-26 19:00:00-05:00,2025-04-06 20:00:00-04:00,6,-0.031051120986876582,0.1618396045741392,-0.19186354952228007,50
28,2018-07-02 20:00:00-04:00,2025-04-06 20:00:00-04:00,2025-04-07 20:00:00-04:00,2025-06-17 20:00:00-04:00,5,0.020690068830247196,0.16428736002273286,0.12593828781096889,50
29,2018-07-02 20:00:00-04:00,2025-06-17 20:00:00-04:00,2025-06-19 20:00:00-04:00,2025-08-28 20:00:00-04:00,7,0.01218377763058338,0.03517838510733622,0.3463427213446058,50
30,2018-07-02 20:00:00-04:00,2025-08-28 20:00:00-04:00,2025-09-01 20:00:00-04:00,2025-11-09 19:00:00-05:00,6,0.005707051682756522,0.0371149528962784,0.1537669116462433,50
31,2018-07-02 20:00:00-04:00,2025-11-09 19:00:00-05:00,2025-11-10 19:00:00-05:00,2026-01-22 19:00:00-05:00,6,0.006514763282138423,0.06053149496876582,0.10762600998868493,50
32,2018-07-02 20:00:00-04:00,2026-01-22 19:00:00-05:00,2026-01-25 19:00:00-05:00,2026-04-06 20:00:00-04:00,6,-0.006098878803198492,0.062345960062461576,-0.09782315962555238,50
33,2018-07-02 20:00:00-04:00,2026-04-06 20:00:00-04:00,2026-04-07 20:00:00-04:00,2026-06-16 20:00:00-04:00,6,0.010095174349470317,0.07679996856546993,0.13144763647740884,50
