Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,429.66,429.66,412.69,421.74,708200
2022-04-06 20:00:00-04:00,418.79,426.70,415.13,422.18,541600
2022-04-07 20:00:00-04:00,418.98,426.63,411.43,420.56,514400
2022-04-10 20:00:00-04:00,414.00,425.43,408.85,409.69,689700
2022-04-11 20:00:00-04:00,414.06,430.44,401.08,406.23,570000
2022-04-12 20:00:00-04:00,409.02,420.18,407.01,416.91,442500
2022-04-13 20:00:00-04:00,416.00,417.87,407.37,409.82,458000
2022-04-17 20:00:00-04:00,408.02,409.66,401.21,405.88,435800
2022-04-18 20:00:00-04:00,403.17,426.71,403.01,424.54,711700
2022-04-19 20:00:00-04:00,427.78,431.27,418.20,419.18,626300
2022-04-20 20:00:00-04:00,421.74,425.03,382.31,383.63,927200
2022-04-21 20:00:00-04:00,380.57,381.60,360.17,360.57,1235800
2022-04-24 20:00:00-04:00,363.45,371.16,354.86,368.86,1065700
2022-04-25 20:00:00-04:00,363.22,365.54,353.93,361.30,1143900
2022-04-26 20:00:00-04:00,365.02,378.98,357.22,360.43,1299500
2022-04-27 20:00:00-04:00,282.00,306.96,270.37,304.66,2908900
2022-04-28 20:00:00-04:00,303.33,319.09,288.88,289.91,1758600
2022-05-01 20:00:00-04:00,292.48,310.97,288.02,308.88,1683000
2022-05-02 20:00:00-04:00,304.02,311.92,297.05,301.02,1077800
2022-05-03 20:00:00-04:00,300.03,311.62,286.70,310.89,1118300
2022-05-04 20:00:00-04:00,305.79,309.00,280.05,283.72,1584500
2022-05-05 20:00:00-04:00,285.85,286.34,271.53,280.41,1243700
2022-05-08 20:00:00-04:00,274.22,277.67,265.30,268.96,1308000
2022-05-09 20:00:00-04:00,273.50,279.60,254.48,258.13,2246600
2022-05-10 20:00:00-04:00,258.77,269.59,255.00,256.11,1037500
2022-05-11 20:00:00-04:00,253.82,265.40,250.64,259.53,1200500
2022-05-12 20:00:00-04:00,264.42,276.84,264.42,275.52,1112500
2022-05-15 20:00:00-04:00,274.66,281.62,270.12,274.20,1101000
2022-05-16 20:00:00-04:00,279.96,285.46,273.99,280.59,1190200
2022-05-17 20:00:00-04:00,276.50,277.41,267.31,269.11,1321600
2022-05-18 20:00:00-04:00,267.07,278.80,265.51,273.89,782700
2022-05-19 20:00:00-04:00,280.00,282.41,267.01,275.04,922900
2022-05-22 20:00:00-04:00,278.46,279.55,266.05,278.71,981700
2022-05-23 20:00:00-04:00,273.17,274.21,265.01,270.18,1194900
2022-05-24 20:00:00-04:00,267.15,281.48,266.69,276.57,908900
2022-05-25 20:00:00-04:00,274.42,279.15,268.15,274.83,983500
2022-05-26 20:00:00-04:00,276.03,284.57,275.62,284.57,953300
2022-05-30 20:00:00-04:00,284.70,286.40,272.17,277.64,1677900
2022-05-31 20:00:00-04:00,281.07,283.27,263.48,265.17,1106500
2022-06-01 20:00:00-04:00,266.76,287.05,264.54,284.87,1126600
2022-06-02 20:00:00-04:00,278.66,280.46,272.85,273.60,643200
2022-06-05 20:00:00-04:00,280.87,281.50,266.62,269.01,829300
2022-06-06 20:00:00-04:00,265.76,275.75,265.76,273.51,654200
2022-06-07 20:00:00-04:00,275.42,277.71,272.32,273.13,750900
2022-06-08 20:00:00-04:00,268.72,273.91,262.13,262.55,813600
2022-06-09 20:00:00-04:00,257.40,259.34,251.63,257.06,1547400
2022-06-12 20:00:00-04:00,246.89,251.97,242.67,244.01,1273100
2022-06-13 20:00:00-04:00,245.03,245.63,235.55,238.08,1011000
2022-06-14 20:00:00-04:00,240.99,249.53,237.12,243.78,1396100
2022-06-15 20:00:00-04:00,235.59,239.22,228.35,229.82,1506400
2022-06-16 20:00:00-04:00,230.96,240.32,230.84,234.47,1941600
2022-06-20 20:00:00-04:00,241.14,241.99,229.97,230.31,1412000
2022-06-21 20:00:00-04:00,226.48,240.80,225.86,235.09,1600100
2022-06-22 20:00:00-04:00,237.98,252.57,236.62,251.12,1164100
2022-06-23 20:00:00-04:00,253.08,258.93,252.51,258.75,2794000
2022-06-26 20:00:00-04:00,258.76,259.79,249.10,250.17,1045000
2022-06-27 20:00:00-04:00,251.51,254.76,241.43,241.92,702500
2022-06-28 20:00:00-04:00,243.87,244.19,236.81,242.15,841400
2022-06-29 20:00:00-04:00,240.67,243.65,232.62,236.67,835800
2022-06-30 20:00:00-04:00,237.03,247.67,235.28,247.34,681800
2022-07-04 20:00:00-04:00,243.50,255.27,239.18,254.11,765100
2022-07-05 20:00:00-04:00,254.22,256.04,247.42,249.54,920600
2022-07-06 20:00:00-04:00,251.84,260.19,250.52,259.64,681600
2022-07-07 20:00:00-04:00,254.27,269.46,252.28,261.52,971800
2022-07-10 20:00:00-04:00,257.97,261.54,247.86,249.48,706900
2022-07-11 20:00:00-04:00,251.36,254.30,245.91,248.98,565200
2022-07-12 20:00:00-04:00,242.64,254.03,238.30,249.86,568900
2022-07-13 20:00:00-04:00,245.15,248.97,240.05,247.18,905700
2022-07-14 20:00:00-04:00,252.02,256.09,247.27,254.88,449800
2022-07-17 20:00:00-04:00,257.78,261.85,252.79,254.08,617300
2022-07-18 20:00:00-04:00,259.11,269.84,257.00,267.31,690500
2022-07-19 20:00:00-04:00,265.74,282.91,265.33,274.49,954200
2022-07-20 20:00:00-04:00,275.47,286.46,273.09,284.24,733200
2022-07-21 20:00:00-04:00,278.70,281.23,262.00,265.88,1256800
2022-07-24 20:00:00-04:00,265.30,266.64,250.22,252.07,1597000
2022-07-25 20:00:00-04:00,253.16,253.16,247.11,251.86,1335000
2022-07-26 20:00:00-04:00,256.57,265.72,255.31,262.61,1440900
2022-07-27 20:00:00-04:00,270.55,283.83,255.90,282.25,2250300
2022-07-28 20:00:00-04:00,277.59,283.54,274.03,280.97,893100
2022-07-31 20:00:00-04:00,278.33,289.98,276.69,282.82,918100
2022-08-01 20:00:00-04:00,278.02,285.15,275.54,281.23,584200
2022-08-02 20:00:00-04:00,284.00,287.99,279.00,286.21,628600
2022-08-03 20:00:00-04:00,286.63,296.25,285.00,293.73,782300
2022-08-04 20:00:00-04:00,286.82,294.20,283.28,293.89,708200
2022-08-07 20:00:00-04:00,295.19,302.97,291.40,293.06,642300
2022-08-08 20:00:00-04:00,288.35,288.35,271.95,273.64,751000
2022-08-09 20:00:00-04:00,283.34,287.90,279.44,287.81,717300
2022-08-10 20:00:00-04:00,291.90,297.92,286.23,287.38,391900
2022-08-11 20:00:00-04:00,288.94,290.93,285.14,289.00,553800
2022-08-14 20:00:00-04:00,288.68,292.87,284.52,286.19,1120600
2022-08-15 20:00:00-04:00,283.35,291.91,272.31,289.04,861900
2022-08-16 20:00:00-04:00,284.01,286.99,272.73,277.66,663600
2022-08-17 20:00:00-04:00,277.22,282.01,273.55,281.66,554100
2022-08-18 20:00:00-04:00,277.56,279.56,268.74,269.82,793600
2022-08-21 20:00:00-04:00,263.14,266.82,255.08,256.05,648300
2022-08-22 20:00:00-04:00,255.63,258.30,251.16,252.23,601000
2022-08-23 20:00:00-04:00,252.68,262.92,251.60,261.70,703000
